original_title,budget,revenue,popularity,release_date,runtime,vote_average,vote_count,Genre1,Genre2,Genre3,Genre4,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,id,cast1,Actor1,Cast2,Actor2,cast3,Actor3,cast4,Actor4,original_language,tagline,homepage,title,overview,,status,production_companies1,production_companies2,production_companies3,production_companies4,production_companies5,production_companies6,production_companies7,production_companies8,production_companies9,production_companies10,production_companies11,production_countries Code 1,production_countries 1,production_countries Code 2,production_countries 2,production_countries Code 3,production_countries 3,production_countries code 4,production_countries 4,Spoken Language Code 1,Spoken Language 1,Spoken Language Code 2,Spoken Language 2,Spoken Language Code 3,Spoken Language 3,Spoken Language Code 4,Spoken Language 4,Spoken Language Code 5,Spoken Language 5,Spoken Language Code 6,Spoken Language 6,ProfitFactor
Superman Returns,270000000,391081192,57.925623,28/6/06,154,5.4,1400,Adventure,Fantasy,Action,ScienceFiction,avingtheworld,dccomics,invulnerability,sequel,superhero,basedoncomicbook,kryptonite,superpowers,superhumanstrength,lexluthor,,,,,,,,,,,,,,,,,1452,Superman/ClarkKent,BrandonRouth,LexLuthor,LoisLane,KateBosworth,RichardWhite,KittyKowalski,ParkerPosey,en,,http://www.superman.com,SupermanReturns,"Supermanreturnstodiscoverhis5-yearabsencehasallowedLexLuthortowalkfree,andthatthosehewasclosesttoofeltabandonedandhavemovedon.Luthorplotshisultimaterevengethatcouldseemillionskilledandchangethefaceoftheplanetforever,aswellasriddinghimselfoftheManofSteel.",,Released,DCComics,LegendaryPictures,WarnerBros.,BadHatHarryProductions,,,,,,,,US, United States of America,,,,,,,en,English,fr,French,de,German,,,,,,,1
Quantum of Solace,200000000,586090727,107.928811,30/10/08,106,6.1,2965,Adventure,Action,Thriller,Crime,killing,undercover,secretagent,britishsecretservice,,,,,,,,,,,,,,,,,,,,,,,10764,JamesBond,DanielCraig,CamilleMontes,DominicGreene,MathieuAmalric,M,Ren\u00e9Mathis,GiancarloGiannini,en,"Forlove,forhate,forjustice,forrevenge.",http://www.mgm.com/view/movie/234/Quantum-of-Solace/,QuantumofSolace,"QuantumofSolacecontinuestheadventuresofJamesBondafterCasinoRoyale.BetrayedbyVesper,thewomanheloved,007fightstheurgetomakehislatestmissionpersonal.Pursuinghisdeterminationtouncoverthetruth,BondandMinterrogateMr.White,whorevealsthattheorganizationthatblackmailedVesperisfarmorecomplexanddangerousthananyonehadimagined.",,Released,EonProductions,,,,,,,,,,,GB, United Kingdom, US, United States of America,,,,,en,English,es,"Spanish, Castilian",it,Italian,fr,French,de,German,,,1
Pirates of the Caribbean: Dead Man's Chest,200000000,1065659812,145.847379,20/6/06,151,7,5246,Adventure,Fantasy,Action,,witch,fortuneteller,bondage,exoticisland,monster,captain,cardgame,eastindiatradingcompany,compass,ship,daughter,pirate,swashbuckler,aftercreditsstinger,,,,,,,,,,,,,58,CaptainJackSparrow,JohnnyDepp,WillTurner,ElizabethSwann,KeiraKnightley,William\BootstrapBill\Turner,CaptainDavyJones,BillNighy,en,Jackisback!,http://disney.go.com/disneypictures/pirates/,PiratesoftheCaribbean:DeadMan'sChest,"CaptainJackSparrowworkshiswayoutofablooddebtwiththeghostlyDaveyJones,healsoattemptstoavoideternaldamnation.",,Released,WaltDisneyPictures,JerryBruckheimerFilms,SecondMateProductions,,,,,,,,,JM, Jamaica, US, United States of America, BS, Bahamas, DM, Dominica,en,English,tr,Turkish,el,GreekÊ(modern),zh,Chinese,,,,,1
The Lone Ranger,255000000,89289910,49.046956,3/7/13,149,5.9,2311,Action,Adventure,Western,,texas,horse,survivor,texasranger,partner,outlaw,escape,lawyer,train,loneranger,comanche,theloneranger,tonto,,,,,,,,,,,,,,57201,Tonto,JohnnyDepp,JohnReid/TheLoneRanger,ButchCavendish,WilliamFichtner,RedHarrington,DanReid,JamesBadgeDale,en,NeverTakeOfftheMask,http://disney.go.com/the-lone-ranger/,TheLoneRanger,"TheTexasRangerschasedownagangofoutlawsledbyButchCavendish,butthegangambushestheRangers,seeminglykillingthemall.Onesurvivorisfound,however,byanAmericanIndiannamedTonto,whonurseshimbacktohealth.TheRanger,donningamaskandridingawhitestallionnamedSilver,teamsupwithTontotobringtheunscrupulousgangandothersofthatilktojustice.",,Released,WaltDisneyPictures,JerryBruckheimerFilms,InfinitumNihil,SilverBulletProductions(II),BlindWinkProductions,ClassicMedia,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,0
Man of Steel,225000000,662845518,99.398009,12/6/13,143,6.5,6359,Action,Adventure,Fantasy,ScienceFiction,avingtheworld,dccomics,superhero,basedoncomicbook,superhuman,alieninvasion,reboot,superpowers,dcextendeduniverse,,,,,,,,,,,,,,,,,,49521,ClarkKent/Kal-El,HenryCavill,LoisLane,GeneralZod,MichaelShannon,JonathanKent,MarthaKent,DianeLane,en,Youwillbelievethatamancanfly.,http://www.manofsteel.com/,ManofSteel,"Ayoungboylearnsthathehasextraordinarypowersandisnotofthisearth.Asayoungman,hejourneystodiscoverwherehecamefromandwhathewassentheretodo.Buttheheroinhimmustemergeifheistosavetheworldfromannihilationandbecomethesymbolofhopeforallmankind.",,Released,LegendaryPictures,WarnerBros.,DCEntertainment,Syncopy,CruelandUnusualFilms,,,,,,,GB, United Kingdom, US, United States of America,,,,,en,English,,,,,,,,,,,1
The Chronicles of Narnia: Prince Caspian,225000000,419651413,53.978602,15/5/08,150,6.3,1630,Adventure,Family,Fantasy,,basedonnovel,fictionalplace,brothersisterrelationship,lion,humanbeing,wretch,leapintime,matteroflifeanddeath,faith,uncle,narnia,fantasyworld,,,,,,,,,,,,,,,2454,PrinceCaspian,BenBarnes,PeterPevensie,SusanPevensie,AnnaPopplewell,EdmundPevensie,LucyPevensie,GeorgieHenley,en,Hopehasanewface.,,TheChroniclesofNarnia:PrinceCaspian,"OneyearaftertheirincredibleadventuresintheLion,theWitchandtheWardrobe,Peter,Edmund,LucyandSusanPevensiereturntoNarniatoaidayoungprincewhoselifehasbeenthreatenedbytheevilKingMiraz.Now,withthehelpofacolorfulcastofnewcharacters,includingTrufflehunterthebadgerandNikabrikthedwarf,thePevensieclanembarksonanincrediblequesttoensurethatNarniaisreturnedtoitsrightfulheir.",,Released,WaltDisney,WaldenMedia,StillkingFilms,OzumiFilms,Propeler,SilverbellFilms,RevolutionSunStudios,,,,,CZ, Czech Republic, PL, Poland, SI, Slovenia, US, United States of America,en,English,,,,,,,,,,,1
The Avengers,220000000,1519557910,144.448633,25/4/12,143,7.4,11776,ScienceFiction,Action,Adventure,,newyork,shield,marvelcomic,superhero,basedoncomicbook,alieninvasion,superheroteam,aftercreditsstinger,duringcreditsstinger,marvelcinematicuniverse,,,,,,,,,,,,,,,,,24428,TonyStark/IronMan,RobertDowneyJr.,SteveRogers/CaptainAmerica,BruceBanner/TheHulk,MarkRuffalo,ThorOdinson,NatashaRomanoff/BlackWidow,ScarlettJohansson,en,Someassemblyrequired.,http://marvel.com/avengers_movie/,TheAvengers,"Whenanunexpectedenemyemergesandthreatensglobalsafetyandsecurity,NickFury,directoroftheinternationalpeacekeepingagencyknownasS.H.I.E.L.D.,findshimselfinneedofateamtopulltheworldbackfromthebrinkofdisaster.Spanningtheglobe,adaringrecruitmenteffortbegins!",,Released,ParamountPictures,MarvelStudios,,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
Pirates of the Caribbean: On Stranger Tides,380000000,1045713802,135.413856,14/5/11,136,6.4,4948,Adventure,Action,Fantasy,,sea,captain,mutiny,sword,primeminister,sailing,silver,ship,duke,mermaid,pirate,soldier,battle,swashbuckler,aftercreditsstinger,3d,,,,,,,,,,,1865,CaptainJackSparrow,JohnnyDepp,AngelicaTeach,CaptainEdward\Blackbeard\Teach,IanMcShane,JoshameeGibbs,CaptainHectorBarbossa,GeoffreyRush,en,LiveForeverOrDieTrying.,http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,PiratesoftheCaribbean:OnStrangerTides,"CaptainJackSparrowcrossespathswithawomanfromhispast,andhe'snotsureifit'slove--orifshe'saruthlessconartistwho'susinghimtofindthefabledFountainofYouth.WhensheforceshimaboardtheQueenAnne'sRevenge,theshipoftheformidablepirateBlackbeard,Jackfindshimselfonanunexpectedadventureinwhichhedoesn'tknowwhotofearmore:Blackbeardorthewomanfromhispast.",,Released,WaltDisneyPictures,JerryBruckheimerFilms,MovingPictureCompany(MPC),,,,,,,,,US, United States of America,,,,,,,en,English,es,"Spanish, Castilian",,,,,,,,,1
Men in Black 3,225000000,624026776,52.035179,23/5/12,106,6.2,4160,Action,Comedy,ScienceFiction,,timetravel,timemachine,alien,fictionalgovernmentagency,seeingthefuture,changinghistory,,,,,,,,,,,,,,,,,,,,,41154,AgentJ,WillSmith,AgentK,YoungAgentK,JoshBrolin,Griffin,AgentO,EmmaThompson,en,Theyareback...intime.,http://www.sonypictures.com/movies/meninblack3/,MeninBlack3,"AgentsJ(WillSmith)andK(TommyLeeJones)areback...intime.Jhasseensomeinexplicablethingsinhis15yearswiththeMeninBlack,butnothing,notevenaliens,perplexeshimasmuchashiswry,reticentpartner.ButwhenK'slifeandthefateoftheplanetareputatstake,AgentJwillhavetotravelbackintimetoputthingsright.JdiscoversthattherearesecretstotheuniversethatKnevertoldhim-secretsthatwillrevealthemselvesasheteamsupwiththeyoungAgentK(JoshBrolin)tosavehispartner,theagency,andthefutureofhumankind.",,Released,AmblinEntertainment,MediaMagikEntertainment,ImagenationAbuDhabiFZ,HemisphereMediaCapital,Parkes/MacDonaldProductions,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
The Hobbit: The Battle of the Five Armies,250000000,956019788,120.965743,10/12/14,144,7.1,4760,Action,Adventure,Fantasy,,corruption,elves,dwarves,orcs,middle-earth(tolkien),hobbit,dragon,battle,unlikelyfriendship,epicbattle,swordandsorcery,,,,,,,,,,,,,,,,122917,BilboBaggins,MartinFreeman,Gandalf,ThorinOakenshield,RichardArmitage,Balin,Dwalin,GrahamMcTavish,en,WitnessthedefiningchapteroftheMiddle-Earthsaga,http://www.thehobbit.com/,TheHobbit:TheBattleoftheFiveArmies,"ImmediatelyaftertheeventsofTheDesolationofSmaug,BilboandthedwarvestrytodefendErebor'smountainoftreasurefromotherswhoclaimit:themenoftheruinedLaketownandtheelvesofMirkwood.MeanwhileanarmyofOrcsledbyAzogtheDefilerismarchingonErebor,fueledbytheriseofthedarklordSauron.Dwarves,elvesandmenmustunite,andthehopeforMiddle-EarthfallsintoBilbo'shands.",,Released,WingNutFilms,NewLineCinema,WarnerBros.Pictures,Foot,Metro-Goldwyn-Mayer(MGM),,,,,,,NZ, New Zealand, US, United States of America,,,,,en,English,,,,,,,,,,,1
The Amazing Spider-Man,215000000,752215857,89.866276,27/6/12,136,6.5,6586,Action,Adventure,Fantasy,,lossoffather,vigilante,serum,marvelcomic,scientificexperiment,spiderbite,maskedvigilante,reboot,superpowers,geneticengineering,socialoutcast,duringcreditsstinger,,,,,,,,,,,,,,,1930,PeterParker/Spider-Man,AndrewGarfield,GwenStacy,Dr.CurtConnors/TheLizard,RhysIfans,CaptainStacy,RichardParker,CampbellScott,en,Theuntoldstorybegins.,http://www.theamazingspiderman.com,TheAmazingSpider-Man,"PeterParkerisanoutcasthighschoolerabandonedbyhisparentsasaboy,leavinghimtoberaisedbyhisUncleBenandAuntMay.Likemostteenagers,Peteristryingtofigureoutwhoheisandhowhegottobethepersonheistoday.AsPeterdiscoversamysteriousbriefcasethatbelongedtohisfather,hebeginsaquesttounderstandhisparents'disappearanceäóñleadinghimdirectlytoOscorpandthelabofDr.CurtConnors,hisfather'sformerpartner.AsSpider-ManissetonacollisioncoursewithConnors'alterego,TheLizard,Peterwillmakelife-alteringchoicestousehispowersandshapehisdestinytobecomeahero.",,Released,ColumbiaPictures,LauraZiskinProductions,MarvelEntertainment,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
Robin Hood,200000000,310669540,37.668301,12/5/10,140,6.2,1398,Action,Adventure,,,robinhood,archer,knight,sherwoodforest,bowandarrow,middleages,medieval,kingofengland,,,,,,,,,,,,,,,,,,,20662,RobinLongstride,RussellCrowe,MarionLoxley,SirWalterLoxley,MaxvonSydow,WilliamMarshal,Godfrey,MarkStrong,en,"Riseandriseagain,untillambsbecomelions.",http://www.robinhoodthemovie.com/,RobinHood,"WhensoldierRobinhappensuponthedyingRobertofLoxley,hepromisestoreturntheman'sswordtohisfamilyinNottingham.There,heassumesRobert'sidentity;romanceshiswidow,Marion;anddrawstheireofthetown'ssheriffandKingJohn'shenchman,Godfrey.",,Released,ImagineEntertainment,UniversalPictures,ScottFreeProductions,RelativityMedia,,,,,,,,GB, United Kingdom, US, United States of America,,,,,en,English,th,Thai,,,,,,,,,1
The Hobbit: The Desolation of Smaug,250000000,958400000,94.370564,11/12/13,161,7.6,4524,Adventure,Fantasy,,,elves,dwarves,orcs,hobbit,dragon,wizard,swordandsorcery,,,,,,,,,,,,,,,,,,,,57158,BilboBaggins,MartinFreeman,Gandalf,ThorinOakenshield,RichardArmitage,Balin,Dwalin,GrahamMcTavish,en,Beyonddarkness...beyonddesolation...liesthegreatestdangerofall.,http://www.thehobbit.com/,TheHobbit:TheDesolationofSmaug,"TheDwarves,BilboandGandalfhavesuccessfullyescapedtheMistyMountains,andBilbohasgainedtheOneRing.TheyallcontinuetheirjourneytogettheirgoldbackfromtheDragon,Smaug.",,Released,WingNutFilms,NewLineCinema,WarnerBros.Pictures,Metro-Goldwyn-Mayer(MGM),,,,,,,,NZ, New Zealand, US, United States of America,,,,,en,English,,,,,,,,,,,1
The Golden Compass,180000000,372234864,42.990906,4/12/07,113,5.8,1303,Adventure,Fantasy,,,england,compass,experiment,lordship,uncle,polarbear,orphan,animal,basedonyoungadultnovel,,,,,,,,,,,,,,,,,,2268,LyraBelacqua,DakotaBlueRichards,MarisaCoulter,LordAsriel,DanielCraig,LeeScoresby,SerafinaPekkala,EvaGreen,en,Thereareworldsbeyondourown-thecompasswillshowtheway.,http://www.goldencompassmovie.com/index_german.html,TheGoldenCompass,"Afteroverhearingashockingsecret,precociousorphanLyraBelacquatradeshercarefreeexistenceroamingthehallsofJordanCollegeforanotherworldlyadventureinthefarNorth,unawarethatit'spartofherdestiny.",,Released,NewLineCinema,IngeniousFilmPartners,DepthofField,ScholasticProductions,,,,,,,,GB, United Kingdom, US, United States of America,,,,,is,Icelandic,en,English,ru,Russian,fr,French,,,,,1
King Kong,207000000,550000000,61.22601,14/12/05,187,6.6,2337,Adventure,Drama,Action,,filmbusiness,screenplay,showbusiness,filmmaking,filmproducer,exoticisland,monster,indigenous,ship,dinosaur,,,,,,,,,,,,,,,,,254,AnnDarrow,NaomiWatts,CarlDenham,JackDriscoll,AdrienBrody,CaptainEnglehorn,Preston,ColinHanks,en,Theeighthwonderoftheworld.,,KingKong,"In1933NewYork,anoverlyambitiousmovieproducercoerceshiscastandhiredshipcrewtotraveltomysteriousSkullIsland,wheretheyencounterKong,agiantapewhoisimmediatelysmittenwiththeleadinglady.",,Released,WingNutFilms,UniversalPictures,BigPrimatePictures,MFPVFilm,,,,,,,,NZ, New Zealand, US, United States of America, DE, Germany,,,en,English,,,,,,,,,,,1
Titanic,200000000,1845034188,100.025899,18/11/97,194,7.5,7562,Drama,Romance,Thriller,,shipwreck,iceberg,ship,panic,titanic,oceanliner,epic,richwoman-poorman,love,disaster,tragiclove,classdifferences,imax,starcrossedlovers,steerage,salvage,richsnob,3d,1910s,,,,,,,,597,RoseDeWittBukater,KateWinslet,JackDawson,RuthDewittBukater,FrancesFisher,Caledon'Cal'Hockley,MollyBrown,KathyBates,en,NothingonEarthcouldcomebetweenthem.,http://www.titanicmovie.com,Titanic,"84yearslater,a101-year-oldwomannamedRoseDeWittBukatertellsthestorytohergranddaughterLizzyCalvert,BrockLovett,LewisBodine,BobbyBuellandAnatolyMikailavichontheKeldyshaboutherlifesetinApril10th1912,onashipcalledTitanicwhenyoungRoseboardsthedepartingshipwiththeupper-classpassengersandhermother,RuthDeWittBukater,andherfiancí©,CaledonHockley.Meanwhile,adrifterandartistnamedJackDawsonandhisbestfriendFabrizioDeRossiwinthird-classticketstotheshipinagame.AndsheexplainsthewholestoryfromdepartureuntilthedeathofTitaniconitsfirstandlastvoyageApril15th,1912at2:20inthemorning.",,Released,ParamountPictures,TwentiethCenturyFoxFilmCorporation,LightstormEntertainment,,,,,,,,,US, United States of America,,,,,,,en,English,fr,French,de,German,sv,Swedish,it,Italian,ru,Russian,1
